WeekID,WeekStart,WeekEnd,Segment,Gender,Class,Region,TeamKey,Team,Games,Wins,AvgMargin,AvgOppRating,AvgSurprise,MeanGameScore,Confidence,WeeklyScore,RankInSegment
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_A_North,Boys,A,North,Camden Hills Regional_Boys_A_North,Camden Hills Regional,2,0,33.0,,2.6388888888888786,0.9260067856946339,1.0,0.9260067856946339,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_A_North,Boys,A,North,Edward Little_Boys_A_North,Edward Little,2,0,22.5,,7.305555555555554,0.8741072747707939,1.0,0.8741072747707939,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_A_South,Boys,A,South,Windham_Boys_A_South,Windham,2,0,25.5,,8.027777777777775,0.6824281308526141,1.0,0.6824281308526141,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_A_South,Boys,A,South,Westbrook_Boys_A_South,Westbrook,2,0,26.0,,-5.722222222222218,0.6294040097293141,1.0,0.6294040097293141,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_B_North,Boys,B,North,Belfast Area_Boys_B_North,Belfast Area,1,0,7.0,,4.555555555555557,0.6967599933231865,0.7071067811865476,0.4926837161383188,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_B_North,Boys,B,North,Erskine Academy_Boys_B_North,Erskine Academy,2,0,6.0,,-5.972222222222218,0.4333595310278954,1.0,0.4333595310278954,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_B_South,Boys,B,South,York_Boys_B_South,York,2,0,38.5,,7.833333333333329,1.006824983351451,1.0,1.006824983351451,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_B_South,Boys,B,South,Poland Regional_Boys_B_South,Poland Regional,1,0,25.0,,2.1666666666666714,0.9315974530183773,0.7071067811865476,0.6587388763654107,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_C_North,Boys,C,North,Dexter Regional_Boys_C_North,Dexter Regional,2,0,17.0,,16.02777777777778,0.709516576446366,1.0,0.709516576446366,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_C_North,Boys,C,North,Foxcroft Academy_Boys_C_North,Foxcroft Academy,1,0,16.0,,1.3888888888888786,0.6352361595270914,0.7071067811865476,0.4491797960565059,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_C_South,Boys,C,South,Spruce Mountain_Boys_C_South,Spruce Mountain,2,0,19.0,,5.083333333333339,0.7484795473385326,1.0,0.7484795473385326,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_C_South,Boys,C,South,Dirigo_Boys_C_South,Dirigo,2,0,16.0,,8.222222222222221,0.6949165540380877,1.0,0.6949165540380877,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_D_North,Boys,D,North,Machias Memorial_Boys_D_North,Machias Memorial,1,0,56.0,,18.22222222222223,1.009617361020216,0.7071067811865476,0.7139072823810614,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_D_North,Boys,D,North,Fort Fairfield HS_Boys_D_North,Fort Fairfield HS,2,0,31.0,,8.861111111111107,0.6929219313811353,1.0,0.6929219313811353,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_D_South,Boys,D,South,Carrabec_Boys_D_South,Carrabec,1,0,26.0,,-2.8333333333333357,0.7431016355182753,0.7071067811865476,0.5254522055857868,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_D_South,Boys,D,South,Islesboro Central_Boys_D_South,Islesboro Central,1,0,25.0,,-12.597222222222229,0.617817124779453,0.7071067811865476,0.43686267846472665,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_S_North,Boys,S,North,Searsport HS_Boys_S_North,Searsport HS,2,0,-14.5,,18.44444444444445,0.7223498668724735,1.0,0.7223498668724735,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_S_North,Boys,S,North,Ashland District_Boys_S_North,Ashland District,1,0,-62.0,,0.7222222222222285,-0.6288397729623163,0.7071067811865476,-0.44465686774146285,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_S_South,Boys,S,South,Valley HS_Boys_S_South,Valley HS,1,0,32.0,,22.09027777777778,0.9986186726195344,0.7071067811865476,0.7061300352287817,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Boys_S_South,Boys,S,South,Rangeley Lakes Regional_Boys_S_South,Rangeley Lakes Regional,1,0,-16.0,,-5.362745098039213,-0.4935604093136718,0.7071067811865476,-0.3489999123509054,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_A_North,Girls,A,North,Mount Ararat_Girls_A_North,Mount Ararat,2,0,34.0,,14.472222222222225,1.0121731788404251,1.0,1.0121731788404251,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_A_North,Girls,A,North,Camden Hills Regional_Girls_A_North,Camden Hills Regional,2,0,31.0,,0.9722222222222214,0.765691265677933,1.0,0.765691265677933,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_A_South,Girls,A,South,Sanford_Girls_A_South,Sanford,2,0,19.5,,8.750000000000004,0.8477483263025176,1.0,0.8477483263025176,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_A_South,Girls,A,South,Bonny Eagle_Girls_A_South,Bonny Eagle,2,0,17.0,,12.833333333333336,0.7727809739839574,1.0,0.7727809739839574,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_B_North,Girls,B,North,Gardiner Area_Girls_B_North,Gardiner Area,2,0,42.0,,11.055555555555557,0.7730869744371563,1.0,0.7730869744371563,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_B_North,Girls,B,North,Lawrence_Girls_B_North,Lawrence,2,0,35.5,,15.611111111111107,0.740957047549415,1.0,0.740957047549415,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_B_South,Girls,B,South,Gray-New Gloucester_Girls_B_South,Gray-New Gloucester,2,0,27.0,,1.527777777777775,0.7573860129766661,1.0,0.7573860129766661,1
